id,timestamp,user_command,jarvis_response
1,2023-10-27 12:39:40,open camera,Opening Camera
2,2023-10-31 10:20:43,open youtube,Opening Youtube
3,2023-11-01 00:30:00,open google,Opening Google
4,2023-11-01 00:33:25,open calculator,Opening Calculator
5,2023-11-01 00:43:11,open youtube,Opening Youtube
6,2023-11-01 01:10:36,open camera,Opening Camera
7,2023-11-01 06:24:59,open youtube,Opening Youtube
8,2023-11-01 09:27:02,open camera,Opening Camera
9,2023-11-01 09:27:55,open camera,Opening Camera
10,2023-11-01 09:30:01,open camera,Opening Camera
11,2023-11-01 10:14:05,open youtube,Opening Youtube
12,2023-11-01 10:25:28,open calculator,Opening Calculator
13,2023-11-01 12:32:17,open calculator,Opening Calculator
14,2023-11-01 13:13:37,open camera,Opening Camera
15,2023-11-01 14:27:28,open camera,Opening Camera
16,2023-11-01 14:27:28,open calculator,Opening Calculator
17,2023-11-01 15:23:07,open calculator,Opening Calculator
18,2023-11-02 14:23:10,open camera,Opening Camera
19,2023-11-03 01:00:21,open calculator,Opening Calculator
20,2023-11-03 01:03:19,open camera,Opening Camera
21,2023-11-03 01:04:55,open camera,Opening Camera
22,2023-11-03 06:17:57,open calculator,Opening Calculator
